actual_price,predicted_price,confidence,direction,equity
179.59,181.88313,0.28967875,1,1029.5196404868555
180.44,182.39764,0.27320248,1,1029.5196404868555
181.79,181.94989,0.2807436,1,1029.5196404868555
183.02,183.36642,0.25644997,1,1029.5196404868555
180.87,182.26123,0.25518295,0,1029.5196404868555
181.96,182.16547,0.2483601,1,1029.5196404868555
182.1,182.6151,0.24176468,1,1029.5196404868555
180.58,182.72702,0.262824,0,1029.5196404868555
182.25,179.60081,0.65699697,1,1029.5196404868555
181.99,182.69164,0.25766543,1,1029.5196404868555
181.24,182.08098,0.26505673,1,1029.5196404868555
182.32,183.76569,0.25692654,1,1029.5196404868555
180.5,183.81729,0.29554674,1,1029.5196404868555
181.43,181.62994,0.289629,1,1029.5196404868555
180.23,182.80956,0.28602082,1,1029.5196404868555
180.09,182.2129,0.3270659,1,1029.5196404868555
184.35,181.80824,0.3842366,1,1029.5196404868555
186.71,184.61024,0.3223691,1,1029.5196404868555
185.76,186.31932,0.33673027,1,1029.5196404868555
188.3,185.92006,0.3432953,1,1029.5196404868555
189.26,188.94229,0.3918244,1,1029.5196404868555
190.07,189.47543,0.43950793,1,1029.5196404868555
190.82,190.00032,0.4618269,1,1029.5196404868555
191.59,189.85233,0.5161015,0,1029.5196404868555
191.22,190.36757,0.532622,1,1029.5196404868555
191.4,189.9709,0.51624256,1,1029.5196404868555
191.55,189.67162,0.56336117,1,1029.5196404868555
192.44,190.01076,0.6090622,1,1029.5196404868555
195.29,190.46574,0.53293747,1,1029.5196404868555
196.79,194.17911,0.6171522,1,1029.5196404868555
195.15,194.53839,0.6704766,0,1029.5196404868555
196.12,192.97154,0.69975567,1,1029.5196404868555
193.8,193.74802,0.7123083,0,1029.5196404868555
194.63,192.1309,0.7022635,1,1029.5196404868555
193.91,193.8662,0.7250869,1,1029.5196404868555
196.14,191.79929,0.6872476,1,1029.5196404868555
197.31,192.97868,0.7124232,1,1029.5196404868555
195.72,194.68428,0.7477304,0,1029.5196404868555
197.67,191.66776,0.71832347,1,1029.5196404868555
202.09,195.90181,0.790871,1,1029.5196404868555
201.95,203.00575,0.81358933,0,1029.5196404868555
200.09,202.59729,0.85141903,0,1029.5196404868555
194.28,200.72919,0.8535523,0,1029.5196404868555
196.58,195.30853,0.7731348,1,1029.5196404868555
199.03,195.42307,0.8188399,1,1029.5196404868555
198.1,197.94295,0.83503294,1,1029.5196404868555
196.98,196.39148,0.83718,1,1029.5196404868555
197.26,195.96806,0.82760787,1,1029.5196404868555
199.11,195.39392,0.8353303,1,1029.5196404868555
199.91,198.07898,0.86611617,1,1029.5196404868555
203.09,199.65671,0.8657477,1,1029.5196404868555
199.06,204.5186,0.8736918,0,1029.5196404868555
202.18,199.00035,0.85114634,1,1029.5196404868555
201.83,203.32928,0.8787636,0,1029.5196404868555
203.76,202.0684,0.8752254,0,1029.5196404868555
202.86,204.2023,0.8844296,0,1029.5196404868555
202.53,203.88792,0.8953517,0,1029.5196404868555
198.92,203.30698,0.89635956,1,1029.5196404868555
200.65,202.56866,0.87093633,1,1029.5196404868555
201.44,203.35301,0.8996082,1,1029.5196404868555
201.95,204.53445,0.90329593,1,1029.5196404868555
205.7,204.82779,0.9109884,0,1029.5196404868555
204.29,206.68817,0.9038451,0,1029.5196404868555
203.05,205.87675,0.90456766,0,1029.5196404868555
202.34,204.15063,0.89366907,0,1029.5196404868555
201.39,204.27657,0.900867,0,1029.5196404868555
201.65,203.93658,0.8925245,0,1029.5196404868555
201.58,204.38705,0.9104269,0,1029.5196404868555
200.62,203.80228,0.91794443,0,1029.5196404868555
199.46,203.54662,0.9077358,0,1029.5196404868555
199.83,202.40562,0.90682536,0,1029.5196404868555
197.66,200.63689,0.9075215,0,1029.5196404868555
197.94,198.80002,0.89086235,0,1029.5196404868555
197.42,197.54042,0.89915013,0,1029.5196404868555
194.17,197.06828,0.898029,0,1029.5196404868555
189.18,193.12299,0.82170177,0,1029.5196404868555
191.61,188.19536,0.5174198,1,1029.5196404868555
192.72,188.11024,0.6932384,0,1029.5196404868555
188.26,189.9272,0.74820423,0,1029.5196404868555
188.7,187.81474,0.5089245,1,1029.5196404868555
190.22,189.10445,0.6912719,1,1029.5196404868555
188.08,190.25052,0.74327534,0,1029.5196404868555
186.78,187.3081,0.54067534,1,1029.5196404868555
187.94,186.57079,0.5394567,1,1029.5196404868555
189.08,188.251,0.6623341,0,1029.5196404868555
189.4,190.01155,0.7106281,1,1029.5196404868555
190.95,189.94571,0.7476994,0,1031.6259702687385
191.54,190.65489,0.78082347,0,1032.427734508294
191.14,191.71318,0.8175876,0,1031.884165532324
189.85,191.6092,0.82960224,0,1030.1311555848215
186.05,190.42032,0.7771908,0,1024.967250313108
181.87,187.02022,0.6239394,1,1019.2869545142233
181.08,183.3863,0.430392,1,1019.2869545142233
184.21,181.2353,0.4487497,0,1019.2869545142233
186.04,185.81633,0.5974123,0,1019.2869545142233
185.21,187.79918,0.6456413,1,1019.2869545142233
184.89,188.31458,0.6665654,1,1018.8466815464509
186.4,188.1328,0.6714016,1,1020.9242196131272
186.01,187.83951,0.7016424,0,1020.3876369336544
184.57,187.08746,0.67504954,0,1018.4064085786785
189.52,187.56926,0.6415443,1,1025.2168810489088
188.53,190.31369,0.70044804,0,1023.8547865548626
185.82,189.45767,0.6508348,0,1020.1262248590397
188.78,189.09389,0.6079854,1,1024.198749810935
189.24,190.17346,0.68233246,0,1024.8316422021078
187.99,189.54114,0.68142974,0,1023.1118259217467
188.86,189.22615,0.6832377,0,1024.308818052878
185.58,190.69313,0.7539398,0,1019.7960201332103
183.72,187.60498,0.52611244,0,1017.2369335080328
182.87,185.55847,0.52150154,0,1016.0674584373872
181.92,184.49481,0.5481124,0,1014.7603980643128
182.95,184.16888,0.5444331,0,1016.1775266793303
178.82,184.92812,0.5950339,0,1010.495253689017
177.71,180.65096,0.4741475,0,1010.495253689017
179.49,180.49725,0.49475327,1,1010.495253689017
178.71,182.0954,0.5816747,0,1010.495253689017
178.12,180.39764,0.56209,0,1010.495253689017
177.51,181.8363,0.56644416,1,1010.495253689017
177.84,181.60696,0.5934337,1,1010.495253689017
180.81,181.12592,0.5939843,1,1010.495253689017
180.74,183.91301,0.6041614,1,1010.495253689017
181.12,181.5678,0.60933936,1,1011.0263870800785
180.77,182.0274,0.6085542,0,1010.5371852725218
181.15,182.637,0.6031419,1,1011.0683186635833
176.59,182.04088,0.62180674,0,1004.6947179708452
178.2,178.7992,0.46344715,1,1004.6947179708452
179.71,179.9831,0.59827125,1,1004.6947179708452
180.69,182.63756,0.6091039,1,1004.6947179708452
182.33,183.15529,0.5781672,1,1004.6947179708452
182.17,184.77824,0.5423282,1,1004.6947179708452
183.79,184.1022,0.5507432,1,1004.6947179708452
185.06,186.22047,0.473081,1,1004.6947179708452
186.09,187.06169,0.5078553,1,1004.6947179708452
186.76,188.71915,0.48493952,1,1004.6947179708452
185.88,189.17603,0.4840001,0,1004.6947179708452
184.48,187.68686,0.51438314,0,1004.6947179708452
186.52,189.07816,0.5649437,1,1004.6947179708452
185.97,188.81593,0.5248412,0,1004.6947179708452
185.96,189.26244,0.5472133,1,1004.6947179708452
186.71,189.14313,0.5672517,1,1004.6947179708452
186.08,188.9235,0.5998851,0,1004.6947179708452
186.43,188.56815,0.5066207,1,1004.6947179708452
188.0,188.79163,0.54460067,1,1004.6947179708452
188.98,190.21045,0.6110068,1,1004.6947179708452
188.24,190.8597,0.58440936,0,1003.7111825553271
187.74,189.71,0.54410315,0,1003.046631598896
187.92,189.53418,0.5221704,0,1003.2858699432112
187.55,189.48653,0.5244459,0,1002.7941022354521
186.41,188.95534,0.49070197,0,1001.2789260547892
187.52,188.18164,0.533242,1,1002.7542291780663
186.83,189.02998,0.5947124,0,1001.8371488581913
185.63,189.08813,0.5785636,1,1000.2422265627566
186.0,187.8984,0.5576928,1,1000.7339942705156
186.45,189.34908,0.63676214,1,1001.3320901313036
185.91,187.97421,0.6097474,0,1000.6143750983581
186.36,187.48056,0.5662806,1,1001.2124709591461
185.09,188.84824,0.6430259,1,999.524511529811
184.88,186.52475,0.62016916,0,999.524511529811
185.49,188.87012,0.71517,1,999.524511529811
186.31,188.8977,0.7380266,1,1000.076839215572
187.13,189.49805,0.7161864,1,1000.629166901333
187.19,189.33902,0.69259477,0,1000.6695811222423
187.46,190.35208,0.7690773,0,1000.8514451163344
187.84,189.85626,0.69888484,0,1001.1074018487602
